%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609043646662518857,16,1609043646662518857,-0.00572731764987,-0.00101399363484,0.00199166010134,-0.302254266186,-0.953120500312,-0.00188994372444,0.0141456201539,0.0,0.0,0.0,0.0,0.0,0.0
1609043646868740421,17,1609043646868740421,-0.00638916669413,-0.000142353528645,0.00420746346936,-0.302105365228,-0.953167570445,-0.00185585822818,0.014159334131,0.0,0.0,0.0,0.0,0.0,0.0
1609043647057955858,18,1609043647057955858,-0.0115802409127,-0.0040885056369,0.00121588713955,-0.302307313612,-0.953103860172,-0.00184423509181,0.0141392595112,0.0,0.0,0.0,0.0,0.0,0.0
1609043647262681398,19,1609043647262681398,-0.00475295772776,0.00229125656188,0.00186606741045,-0.302199403451,-0.953138174568,-0.0018573900636,0.0141312008752,0.0,0.0,0.0,0.0,0.0,0.0
1609043647468885364,20,1609043647468885364,-0.0059299627319,-0.00135287735611,0.00306174275465,-0.302196272287,-0.953138461338,-0.00189149612031,0.0141742292984,0.0,0.0,0.0,0.0,0.0,0.0
1609043647657835598,21,1609043647657835598,-0.00420733913779,0.000308280839818,0.000734847621061,-0.302200106096,-0.953137987022,-0.00183939023338,0.0141311788186,0.0,0.0,0.0,0.0,0.0,0.0
1609043647862541142,22,1609043647862541142,-0.00559371197596,-0.000738779897802,0.00193671020679,-0.302164540636,-0.953149168029,-0.00186169237874,0.0141346372167,0.0,0.0,0.0,0.0,0.0,0.0
1609043648068687433,23,1609043648068687433,-0.00604546396062,-0.00136577500962,0.00306493416429,-0.302209857098,-0.95313412925,-0.00188920824862,0.0141762062505,0.0,0.0,0.0,0.0,0.0,0.0
1609043648257947082,24,1609043648257947082,-0.00277693709359,0.000973995076492,-0.000104142163764,-0.30217463147,-0.953145798691,-0.0018607771847,0.0141462377397,0.0,0.0,0.0,0.0,0.0,0.0
1609043648462505043,25,1609043648462505043,-0.00927820522338,-0.00114241940901,0.00166095560417,-0.302262184875,-0.95311783289,-0.00187838921264,0.0141576790382,0.0,0.0,0.0,0.0,0.0,0.0
1609043648668736168,26,1609043648668736168,-0.00872652325779,-0.00195637857541,0.00269112060778,-0.302264684181,-0.953116353552,-0.00190747259179,0.0141999590396,0.0,0.0,0.0,0.0,0.0,0.0
1609043648857476059,27,1609043648857476059,-0.00682187546045,-0.000135648719152,-1.55360103236e-05,-0.302122660492,-0.953162241639,-0.00186713831118,0.0141475412905,0.0,0.0,0.0,0.0,0.0,0.0
1609043649062355790,28,1609043649062355790,-0.00161598576233,0.00319949910045,0.0017770929262,-0.302158499127,-0.953150936251,-0.00190348554018,0.01413898408,0.0,0.0,0.0,0.0,0.0,0.0
1609043649268595068,29,1609043649268595068,-0.00878028478473,-0.00271738530137,0.00396451586857,-0.302234382077,-0.953126281047,-0.00187460455726,0.0141829660824,0.0,0.0,0.0,0.0,0.0,0.0
1609043649457795478,30,1609043649457795478,-0.00682378141209,0.00114961131476,-0.000463534757728,-0.302123201086,-0.953161630379,-0.00189811107991,0.0141730347402,0.0,0.0,0.0,0.0,0.0,0.0
