%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1609054403367282250,23,1609054403367282250,1.3302937746,-1.10420036316,-3.85236120224,0.994444242736,0.00990515325778,0.101485564647,0.0261384046244,0.0,0.0,0.0,0.0,0.0,0.0
1609054403573681680,24,1609054403573681680,1.3248333931,-1.09679019451,-3.85144901276,0.994452246188,0.00999563508548,0.101399946781,0.0261317455339,0.0,0.0,0.0,0.0,0.0,0.0
1609054403761391127,25,1609054403761391127,1.32892668247,-1.11404490471,-3.8548438549,0.994448367945,0.00997579722452,0.101420310875,0.0262077756367,0.0,0.0,0.0,0.0,0.0,0.0
1609054403967506515,26,1609054403967506515,1.33040785789,-1.10796391964,-3.85281229019,0.994447526976,0.0100035257431,0.101442889993,0.0261416455718,0.0,0.0,0.0,0.0,0.0,0.0
1609054404173678580,27,1609054404173678580,1.32701790333,-1.10860896111,-3.8512005806,0.994451406559,0.00994316956658,0.101410322319,0.0261434484844,0.0,0.0,0.0,0.0,0.0,0.0
1609054404361479476,28,1609054404361479476,1.32633960247,-1.11413741112,-3.8533911705,0.994443621274,0.0101169908337,0.101451348165,0.0262136330895,0.0,0.0,0.0,0.0,0.0,0.0
1609054404567915758,29,1609054404567915758,1.32821273804,-1.11236441135,-3.8511633873,0.994452856242,0.0100405848863,0.101384634263,0.0261507036674,0.0,0.0,0.0,0.0,0.0,0.0
1609054404773445142,30,1609054404773445142,1.3238427639,-1.11292409897,-3.85172009468,0.994451335887,0.0100505400132,0.101405574801,0.02612348748,0.0,0.0,0.0,0.0,0.0,0.0
1609054404961496739,31,1609054404961496739,1.32623457909,-1.11033427715,-3.85361671448,0.994445780391,0.01024513433,0.101411750557,0.026235165986,0.0,0.0,0.0,0.0,0.0,0.0
1609054405167301524,32,1609054405167301524,1.33133792877,-1.11004078388,-3.85311889648,0.994451030672,0.0101831342471,0.101376354394,0.0261970636235,0.0,0.0,0.0,0.0,0.0,0.0
1609054405374491909,33,1609054405374491909,1.32604193687,-1.11445260048,-3.85268568993,0.994456599617,0.0100993223613,0.101349675794,0.0261212247348,0.0,0.0,0.0,0.0,0.0,0.0
1609054405561595569,34,1609054405561595569,1.32809746265,-1.10854291916,-3.8542675972,0.994437641597,0.010164515055,0.101501168594,0.0262292276382,0.0,0.0,0.0,0.0,0.0,0.0
1609054405767358875,35,1609054405767358875,1.32792961597,-1.1081815958,-3.85273909569,0.994441730924,0.0100672015374,0.101485986276,0.0261704000681,0.0,0.0,0.0,0.0,0.0,0.0
1609054405973615733,36,1609054405973615733,1.32750070095,-1.10601663589,-3.85145568848,0.99444693472,0.0100491601867,0.101444327918,0.0261410929278,0.0,0.0,0.0,0.0,0.0,0.0
1609054406161258989,37,1609054406161258989,1.33096849918,-1.10553884506,-3.85183811188,0.994445460513,0.010047830561,0.101439472718,0.0262164173755,0.0,0.0,0.0,0.0,0.0,0.0
1609054406367122832,38,1609054406367122832,1.32981395721,-1.11055314541,-3.85161280632,0.994443393147,0.0100879097452,0.101475026013,0.0261417482079,0.0,0.0,0.0,0.0,0.0,0.0
1609054406559399998,39,1609054406559399998,1.32938027382,-1.11078715324,-3.85478568077,0.994445809846,0.00998066637498,0.101454229075,0.0261716828016,0.0,0.0,0.0,0.0,0.0,0.0
1609054406762711478,40,1609054406762711478,1.33297622204,-1.10311496258,-3.85322737694,0.994443789144,0.0100121982799,0.101470438944,0.0261735771041,0.0,0.0,0.0,0.0,0.0,0.0
1609054406968643356,41,1609054406968643356,1.32523095608,-1.11597216129,-3.85143780708,0.994449355883,0.00999892053825,0.101412461702,0.026191845732,0.0,0.0,0.0,0.0,0.0,0.0
1609054407159109897,42,1609054407159109897,1.32920253277,-1.10213649273,-3.85378503799,0.994446177273,0.0101698969149,0.101424774833,0.0261990220024,0.0,0.0,0.0,0.0,0.0,0.0
1609054407363734099,43,1609054407363734099,1.3286485672,-1.0981348753,-3.85245132446,0.994445317186,0.00998350893318,0.101452393503,0.0261964220408,0.0,0.0,0.0,0.0,0.0,0.0
1609054407568443203,44,1609054407568443203,1.33223116398,-1.10370349884,-3.85161805153,0.994447486296,0.0101585065145,0.101423164278,0.0261599597159,0.0,0.0,0.0,0.0,0.0,0.0
1609054407759235310,45,1609054407759235310,1.32735848427,-1.10160267353,-3.85265278816,0.994449363654,0.0100738780086,0.101394317864,0.0262330405185,0.0,0.0,0.0,0.0,0.0,0.0
1609054407962866481,46,1609054407962866481,1.33231580257,-1.10695981979,-3.85307979584,0.994446202977,0.0100307314123,0.101443883784,0.0261777053027,0.0,0.0,0.0,0.0,0.0,0.0
1609054408168604161,47,1609054408168604161,1.32613635063,-1.1070587635,-3.85186386108,0.994444609874,0.0101073204094,0.101448719541,0.0261900223464,0.0,0.0,0.0,0.0,0.0,0.0
1609054408359160091,48,1609054408359160091,1.33039355278,-1.11798751354,-3.85311436653,0.994442329718,0.0101771726878,0.101451347726,0.0262393228747,0.0,0.0,0.0,0.0,0.0,0.0
1609054408562790985,49,1609054408562790985,1.3329076767,-1.10164105892,-3.851760149,0.994438203798,0.00990166006451,0.101534959524,0.0261776230571,0.0,0.0,0.0,0.0,0.0,0.0
1609054408768761460,50,1609054408768761460,1.32881128788,-1.11769330502,-3.85186600685,0.994445599969,0.010041446624,0.101451473754,0.0261670885695,0.0,0.0,0.0,0.0,0.0,0.0
1609054408958965507,51,1609054408958965507,1.3289860487,-1.10420334339,-3.85579919815,0.994443734208,0.0100448849233,0.101471269613,0.0261599163819,0.0,0.0,0.0,0.0,0.0,0.0
1609054409162940106,52,1609054409162940106,1.32860267162,-1.10705316067,-3.85279655457,0.994441929475,0.00995675462579,0.101492771971,0.026178792518,0.0,0.0,0.0,0.0,0.0,0.0
1609054409368637588,53,1609054409368637588,1.32896530628,-1.12137937546,-3.85187387466,0.994449150635,0.00986226847894,0.101448865017,0.0261103475251,0.0,0.0,0.0,0.0,0.0,0.0
1609054409559236825,54,1609054409559236825,1.33309471607,-1.11064517498,-3.85417556763,0.994445521671,0.00997108247785,0.101453350135,0.0261896866965,0.0,0.0,0.0,0.0,0.0,0.0
1609054409763786500,55,1609054409763786500,1.33025085926,-1.11194491386,-3.85082006454,0.994446266904,0.00985023810994,0.101463269603,0.0261686830311,0.0,0.0,0.0,0.0,0.0,0.0
1609054409968606710,56,1609054409968606710,1.32742261887,-1.11000144482,-3.85085511208,0.994449325458,0.00999480396489,0.101426415425,0.0261404905209,0.0,0.0,0.0,0.0,0.0,0.0
1609054410158784351,57,1609054410158784351,1.32944905758,-1.11908531189,-3.85313296318,0.994447238786,0.0100150813444,0.101426173685,0.0262129492499,0.0,0.0,0.0,0.0,0.0,0.0
1609054410362285944,58,1609054410362285944,1.32866740227,-1.11261296272,-3.85421276093,0.994438611324,0.0100443741228,0.101526965762,0.0261387467202,0.0,0.0,0.0,0.0,0.0,0.0
1609054410568568290,59,1609054410568568290,1.32741129398,-1.11134231091,-3.85203814507,0.994450957869,0.0099433554546,0.101407856919,0.02616999484,0.0,0.0,0.0,0.0,0.0,0.0
1609054410758918744,60,1609054410758918744,0.682496845722,-1.20488834381,-2.07006645203,0.997930385088,0.0181826428271,0.0539703570017,0.0298586433576,0.0,0.0,0.0,0.0,0.0,0.0
1609054410962547304,61,1609054410962547304,0.678202986717,-1.19404053688,-2.07004570961,0.997964155988,0.0178280472469,0.0536778221981,0.0294685510212,0.0,0.0,0.0,0.0,0.0,0.0
1609054411169037104,62,1609054411169037104,0.679603755474,-1.20023441315,-2.07070922852,0.997963576298,0.0179756527079,0.0536456050919,0.0294571781761,0.0,0.0,0.0,0.0,0.0,0.0
1609054411359087212,63,1609054411359087212,0.684662282467,-1.19975447655,-2.07217931747,0.997958859512,0.0179274109262,0.0537313626476,0.0294900547157,0.0,0.0,0.0,0.0,0.0,0.0
1609054411562402753,64,1609054411562402753,0.684508502483,-1.19818329811,-2.07441234589,0.997961234956,0.0179499779216,0.053720759134,0.0294151636936,0.0,0.0,0.0,0.0,0.0,0.0
1609054411768463280,65,1609054411768463280,0.681660234928,-1.20666003227,-2.06825065613,0.997961959584,0.0180135021593,0.0536448440136,0.0294901962306,0.0,0.0,0.0,0.0,0.0,0.0
1609054411959164311,66,1609054411959164311,0.685672163963,-1.1996243,-2.06993198395,0.997958337044,0.0178935334165,0.0537436397356,0.0295059345655,0.0,0.0,0.0,0.0,0.0,0.0
1609054412165399955,67,1609054412165399955,0.682123959064,-1.19341409206,-2.07036542892,0.997962736599,0.0178648179034,0.0537022814892,0.0294497810345,0.0,0.0,0.0,0.0,0.0,0.0
1609054412370381286,68,1609054412370381286,0.682328462601,-1.20140087605,-2.06782746315,0.99796051934,0.0179613658006,0.0537184584113,0.029436684655,0.0,0.0,0.0,0.0,0.0,0.0
1609054412559495823,69,1609054412559495823,0.681338787079,-1.2012847662,-2.07327127457,0.997961053627,0.017901263197,0.0537389952168,0.0294176921764,0.0,0.0,0.0,0.0,0.0,0.0
1609054412772087362,70,1609054412772087362,0.682194530964,-1.19226944447,-2.07056570053,0.997966103603,0.0179833575194,0.0536170298051,0.0294188549478,0.0,0.0,0.0,0.0,0.0,0.0
1609054412959221224,71,1609054412959221224,0.684939324856,-1.20023155212,-2.07204198837,0.997965536882,0.0179536738628,0.0536301820683,0.0294322333707,0.0,0.0,0.0,0.0,0.0,0.0
1609054413168034749,72,1609054413168034749,0.682228326797,-1.19873845577,-2.06920003891,0.997960011904,0.018013902527,0.0537084448635,0.0294400561607,0.0,0.0,0.0,0.0,0.0,0.0
1609054413371543736,73,1609054413371543736,0.683309316635,-1.20421993732,-2.07024621964,0.997962349213,0.0178943511137,0.053706613313,0.0294370759049,0.0,0.0,0.0,0.0,0.0,0.0
1609054413558970137,74,1609054413558970137,0.684427142143,-1.20274245739,-2.0708861351,0.997958717119,0.0179600488445,0.0537410407448,0.0294573608975,0.0,0.0,0.0,0.0,0.0,0.0
1609054413765676697,75,1609054413765676697,0.683476507664,-1.19661545753,-2.07021307945,0.997963111397,0.0178010070763,0.053728828896,0.0294272897849,0.0,0.0,0.0,0.0,0.0,0.0
1609054413971652732,76,1609054413971652732,0.678943574429,-1.19620609283,-2.06888985634,0.997956867276,0.0181002619815,0.0537244834839,0.0294644098527,0.0,0.0,0.0,0.0,0.0,0.0
1609054414159121769,77,1609054414159121769,0.686305820942,-1.19898295403,-2.06931090355,0.997958684791,0.0179247201779,0.0537567643271,0.0294512842849,0.0,0.0,0.0,0.0,0.0,0.0
1609054414365254160,78,1609054414365254160,0.679004430771,-1.19948542118,-2.07141137123,0.997954998817,0.0180553676918,0.0537748378153,0.0294633815525,0.0,0.0,0.0,0.0,0.0,0.0
1609054414558851147,79,1609054414558851147,0.683372020721,-1.19753992558,-2.07229685783,0.997959040527,0.0177409484465,0.0538134650296,0.0294469550312,0.0,0.0,0.0,0.0,0.0,0.0
1609054414762165949,80,1609054414762165949,0.680076181889,-1.19130909443,-2.07169032097,0.997961348837,0.0179967436647,0.0536885363948,0.0294415438521,0.0,0.0,0.0,0.0,0.0,0.0
1609054414969217361,81,1609054414969217361,0.68287140131,-1.20449006557,-2.06904029846,0.997962325964,0.018022083884,0.05364993687,0.0294632775295,0.0,0.0,0.0,0.0,0.0,0.0
1609054415159574122,82,1609054415159574122,0.684918582439,-1.20057892799,-2.07252120972,0.997963601248,0.0179419824984,0.0536533117597,0.0294628237842,0.0,0.0,0.0,0.0,0.0,0.0
1609054415362461812,83,1609054415362461812,0.680706620216,-1.20046401024,-2.07171320915,0.997957054275,0.0181126294321,0.0537165809419,0.0294648843364,0.0,0.0,0.0,0.0,0.0,0.0
1609054415568372752,84,1609054415568372752,0.678146362305,-1.19927847385,-2.07120585442,0.997964748725,0.0178760607608,0.0536557304265,0.029459622308,0.0,0.0,0.0,0.0,0.0,0.0
1609054415760653975,85,1609054415760653975,0.679687798023,-1.19507932663,-2.07296395302,0.997959854469,0.0180120682003,0.0536922632571,0.0294760094552,0.0,0.0,0.0,0.0,0.0,0.0
1609054415967223671,86,1609054415967223671,0.678122639656,-1.19535958767,-2.0686943531,0.99796314226,0.0179082691973,0.0536648418116,0.0294778787972,0.0,0.0,0.0,0.0,0.0,0.0
1609054416177806489,87,1609054416177806489,0.67873698473,-1.19979095459,-2.06902837753,0.997962867237,0.0179904534667,0.053683176706,0.0294036687879,0.0,0.0,0.0,0.0,0.0,0.0
1609054416364276692,88,1609054416364276692,0.684551179409,-1.19655990601,-2.07107305527,0.997961730342,0.0179494001563,0.0536884269457,0.0294577089826,0.0,0.0,0.0,0.0,0.0,0.0
1609054416570194690,89,1609054416570194690,0.679403543472,-1.19948792458,-2.06907343864,0.997968769235,0.0178437242766,0.0536233616683,0.0294019084181,0.0,0.0,0.0,0.0,0.0,0.0
1609054416761210135,90,1609054416761210135,0.682783722878,-1.20485627651,-2.07251405716,0.997961862389,0.017908452842,0.0537008210737,0.0294555656928,0.0,0.0,0.0,0.0,0.0,0.0
1609054416965483995,91,1609054416965483995,0.680109322071,-1.2036485672,-2.06966638565,0.997961224916,0.018022486197,0.0536640829245,0.029474561208,0.0,0.0,0.0,0.0,0.0,0.0
1609054417171415966,92,1609054417171415966,0.680137932301,-1.19726908207,-2.07023215294,0.997962872491,0.017789606114,0.0537450984285,0.0294125727885,0.0,0.0,0.0,0.0,0.0,0.0
1609054417361926306,93,1609054417361926306,0.680165171623,-1.20499682426,-2.07296705246,0.997963564208,0.017844493128,0.0536970357689,0.0294436228813,0.0,0.0,0.0,0.0,0.0,0.0
1609054417566003109,94,1609054417566003109,0.677820026875,-1.19840764999,-2.0702226162,0.997966403325,0.0177021950491,0.0536882857395,0.0294492461686,0.0,0.0,0.0,0.0,0.0,0.0
1609054417770444998,95,1609054417770444998,0.67885184288,-1.20520186424,-2.07133674622,0.99796482464,0.0179603252882,0.0536410164188,0.0294325815109,0.0,0.0,0.0,0.0,0.0,0.0
1609054417959754237,96,1609054417959754237,0.679564833641,-1.19939208031,-2.07303833961,0.997963665697,0.0178506979339,0.053682341564,0.0294632098722,0.0,0.0,0.0,0.0,0.0,0.0
1609054418164486437,97,1609054418164486437,0.680433630943,-1.20064997673,-2.07157468796,0.997963081545,0.0178342010111,0.0537003139194,0.0294602347713,0.0,0.0,0.0,0.0,0.0,0.0
1609054418370117393,98,1609054418370117393,0.684349477291,-1.201187253,-2.06894683838,0.997963344953,0.0178566876111,0.0536943193547,0.0294486146682,0.0,0.0,0.0,0.0,0.0,0.0
1609054418559254265,99,1609054418559254265,0.680264592171,-1.20357823372,-2.07136106491,0.997963073409,0.0178598337544,0.0537026805913,0.0294406614581,0.0,0.0,0.0,0.0,0.0,0.0
1609054418763825347,100,1609054418763825347,0.681757152081,-1.19390845299,-2.07106232643,0.997965544073,0.0177955633181,0.0536703514725,0.0294547813194,0.0,0.0,0.0,0.0,0.0,0.0
1609054418969802209,101,1609054418969802209,0.680238366127,-1.20087265968,-2.06863307953,0.997965279111,0.0178501976268,0.0536697877535,0.029431717873,0.0,0.0,0.0,0.0,0.0,0.0
1609054419159015470,102,1609054419159015470,0.682109892368,-1.19773328304,-2.07095003128,0.997960888164,0.0178858973086,0.0537139666055,0.0294782998818,0.0,0.0,0.0,0.0,0.0,0.0
1609054419363985634,103,1609054419363985634,0.683796644211,-1.19719445705,-2.07010054588,0.997955806106,0.0181009858398,0.0537434277979,0.0294653582976,0.0,0.0,0.0,0.0,0.0,0.0
1609054419570042276,104,1609054419570042276,0.67580807209,-1.20131349564,-2.07018995285,0.997965131318,0.017813384298,0.0536704202521,0.0294578682811,0.0,0.0,0.0,0.0,0.0,0.0
1609054419759082571,105,1609054419759082571,0.680327534676,-1.19662487507,-2.07206654549,0.997961927057,0.0177981467001,0.0537135596254,0.0294969766392,0.0,0.0,0.0,0.0,0.0,0.0
1609054419963737498,106,1609054419963737498,0.67896270752,-1.20787668228,-2.07048034668,0.997961785962,0.0179443451409,0.0536856443683,0.0294639750399,0.0,0.0,0.0,0.0,0.0,0.0
1609054420170028341,107,1609054420170028341,0.676528692245,-1.18914198875,-2.07204389572,0.997968253978,0.0178481713191,0.0536236636146,0.0294161440953,0.0,0.0,0.0,0.0,0.0,0.0
1609054420359045304,108,1609054420359045304,0.681367337704,-1.20068824291,-2.07270288467,0.997961924788,0.0179464128357,0.0536947211843,0.0294414649284,0.0,0.0,0.0,0.0,0.0,0.0
1609054420563678093,109,1609054420563678093,0.68202239275,-1.19724607468,-2.0714700222,0.997956865119,0.0179881116524,0.0537557908547,0.0294760606231,0.0,0.0,0.0,0.0,0.0,0.0
1609054420770562775,110,1609054420770562775,0.893198490143,-0.852467298508,-2.10078382492,0.998363749504,0.00543523147291,0.0479604544774,0.0306606709186,0.0,0.0,0.0,0.0,0.0,0.0
1609054420959661687,111,1609054420959661687,0.931508898735,-0.931579470634,-2.52042961121,0.997648525322,0.00754331310104,0.0596474630223,0.0329043842753,0.0,0.0,0.0,0.0,0.0,0.0
1609054421165136447,112,1609054421165136447,1.33306980133,-1.11625313759,-3.85379528999,0.994445295334,0.0103973958747,0.101425277809,0.0261411891279,0.0,0.0,0.0,0.0,0.0,0.0
1609054421370331939,113,1609054421370331939,1.33759081364,-1.12070465088,-3.85090994835,0.994492383912,0.0103099983054,0.101012608434,0.0259818246686,0.0,0.0,0.0,0.0,0.0,0.0
1609054421559391851,114,1609054421559391851,1.33386862278,-1.11816179752,-3.85368514061,0.994486461668,0.0104079759313,0.101053488173,0.0260104618096,0.0,0.0,0.0,0.0,0.0,0.0
1609054421764627931,115,1609054421764627931,1.33105802536,-1.12263274193,-3.85130119324,0.994491351597,0.0104121435511,0.101009774031,0.0259916220454,0.0,0.0,0.0,0.0,0.0,0.0
1609054421970602235,116,1609054421970602235,1.3340280056,-1.11691248417,-3.8502175808,0.994490212323,0.0104243438642,0.101024679449,0.0259723851783,0.0,0.0,0.0,0.0,0.0,0.0
1609054422159576646,117,1609054422159576646,1.3388916254,-1.11738872528,-3.85174465179,0.994487822329,0.0104032344628,0.101047710236,0.025982767535,0.0,0.0,0.0,0.0,0.0,0.0
1609054422364330202,118,1609054422364330202,1.33301687241,-1.11811602116,-3.85255742073,0.994485595652,0.0103889567476,0.101070347108,0.0259856605351,0.0,0.0,0.0,0.0,0.0,0.0
1609054422570088427,119,1609054422570088427,1.32973456383,-1.11707365513,-3.85212802887,0.994495119046,0.0103115180646,0.100993676998,0.0259501058934,0.0,0.0,0.0,0.0,0.0,0.0
1609054422759146050,120,1609054422759146050,1.33296132088,-1.11961901188,-3.85544586182,0.99448412136,0.0103866643159,0.101079155406,0.0260087275672,0.0,0.0,0.0,0.0,0.0,0.0
1609054422964282152,121,1609054422964282152,1.33776783943,-1.11822283268,-3.8527507782,0.99448637574,0.0104022552923,0.10105754196,0.0260002839571,0.0,0.0,0.0,0.0,0.0,0.0
1609054423170310202,122,1609054423170310202,1.3329488039,-1.11391699314,-3.85180735588,0.994496545004,0.0103899931403,0.100967254966,0.0259669683105,0.0,0.0,0.0,0.0,0.0,0.0
1609054423359496344,123,1609054423359496344,1.33379864693,-1.11740207672,-3.85475468636,0.994485218094,0.0104324226183,0.101065500385,0.0260015419399,0.0,0.0,0.0,0.0,0.0,0.0
1609054423564407043,124,1609054423564407043,1.33483707905,-1.11663389206,-3.85316944122,0.994492200368,0.0104449708661,0.100995337103,0.0260020744162,0.0,0.0,0.0,0.0,0.0,0.0
1609054423770085821,125,1609054423770085821,1.33392190933,-1.11754047871,-3.85109686852,0.994492009297,0.0104286414592,0.101005840373,0.0259751245012,0.0,0.0,0.0,0.0,0.0,0.0
1609054423959341954,126,1609054423959341954,1.33746623993,-1.11227822304,-3.85295629501,0.994485293048,0.0104701417502,0.101062189568,0.0259963820895,0.0,0.0,0.0,0.0,0.0,0.0
1609054424163917367,127,1609054424163917367,1.33468878269,-1.11724376678,-3.850928545,0.994491782173,0.0104709484422,0.100999090491,0.0259930404088,0.0,0.0,0.0,0.0,0.0,0.0
1609054424370056073,128,1609054424370056073,1.33320105076,-1.11969566345,-3.85096907616,0.994494973973,0.0105766254847,0.100956735836,0.0259926763905,0.0,0.0,0.0,0.0,0.0,0.0
1609054424559176902,129,1609054424559176902,1.33243381977,-1.1244571209,-3.85325193405,0.994489131678,0.0102956178109,0.101044814397,0.0259867795486,0.0,0.0,0.0,0.0,0.0,0.0
1609054424764034686,130,1609054424764034686,1.33536815643,-1.11927568913,-3.85243320465,0.99448334663,0.0105378860584,0.101068302702,0.0260196929782,0.0,0.0,0.0,0.0,0.0,0.0
1609054424970034022,131,1609054424970034022,1.33231496811,-1.11985194683,-3.85024905205,0.994495350603,0.0103550376511,0.100986561793,0.02595159266,0.0,0.0,0.0,0.0,0.0,0.0
1609054425159103112,132,1609054425159103112,1.33574950695,-1.1157989502,-3.85360646248,0.994489113027,0.0104755905024,0.101029018436,0.0259769803717,0.0,0.0,0.0,0.0,0.0,0.0
1609054425363741586,133,1609054425363741586,1.33699524403,-1.1197078228,-3.85306811333,0.994482615273,0.0104160657009,0.101088951679,0.0260164821575,0.0,0.0,0.0,0.0,0.0,0.0
1609054425570206488,134,1609054425570206488,1.33603453636,-1.11841845512,-3.85154724121,0.994490652661,0.0104493664535,0.101014132926,0.0259864860927,0.0,0.0,0.0,0.0,0.0,0.0
1609054425759110552,135,1609054425759110552,1.33388257027,-1.11442053318,-3.85405755043,0.994486932248,0.0103935336531,0.101053076412,0.025999842172,0.0,0.0,0.0,0.0,0.0,0.0
1609054425963974233,136,1609054425963974233,1.33434534073,-1.11662173271,-3.85158896446,0.994491386319,0.0103015359113,0.101031004664,0.0259518205796,0.0,0.0,0.0,0.0,0.0,0.0
1609054426169999674,137,1609054426169999674,1.33338737488,-1.1191110611,-3.85225296021,0.994493814025,0.0103761250776,0.100990772254,0.0259856463183,0.0,0.0,0.0,0.0,0.0,0.0
1609054426359135618,138,1609054426359135618,1.33657979965,-1.11916017532,-3.85463857651,0.994483686465,0.0103827651257,0.101082632786,0.026013398316,0.0,0.0,0.0,0.0,0.0,0.0
1609054426563951500,139,1609054426563951500,1.3336083889,-1.11565005779,-3.8524620533,0.994491809374,0.0103868008992,0.101008934163,0.0259875099653,0.0,0.0,0.0,0.0,0.0,0.0
1609054426770044065,140,1609054426770044065,1.333999753,-1.12253522873,-3.85097050667,0.99449392252,0.0105094476354,0.100976262407,0.0259843031599,0.0,0.0,0.0,0.0,0.0,0.0
1609054426958932039,141,1609054426958932039,1.33191657066,-1.11699914932,-3.85281205177,0.994488421398,0.0102717259423,0.101055810591,0.0259806562294,0.0,0.0,0.0,0.0,0.0,0.0
1609054427163532107,142,1609054427163532107,1.33483457565,-1.11805927753,-3.85303544998,0.994487862569,0.0103811418471,0.101043253567,0.0260073836612,0.0,0.0,0.0,0.0,0.0,0.0
1609054427369786359,143,1609054427369786359,1.33534669876,-1.12775468826,-3.85098004341,0.99449258797,0.010399412048,0.101007018989,0.0259601004678,0.0,0.0,0.0,0.0,0.0,0.0
1609054427558803279,144,1609054427558803279,1.33571505547,-1.12174618244,-3.85353970528,0.994484023368,0.0103834569283,0.101073752809,0.0260347379712,0.0,0.0,0.0,0.0,0.0,0.0
1609054427763384251,145,1609054427763384251,1.33551180363,-1.11640357971,-3.85249948502,0.994491395431,0.0103254888968,0.101024416039,0.025967596297,0.0,0.0,0.0,0.0,0.0,0.0
1609054427969795328,146,1609054427969795328,1.33170080185,-1.12043297291,-3.85251164436,0.994487855688,0.0104064025909,0.101049439473,0.0259734952628,0.0,0.0,0.0,0.0,0.0,0.0
1609054428159039492,147,1609054428159039492,1.33551955223,-1.12459623814,-3.85297060013,0.994482187861,0.0103712843302,0.101089980954,0.0260466934583,0.0,0.0,0.0,0.0,0.0,0.0
1609054428363430424,148,1609054428363430424,1.33578646183,-1.12431657314,-3.85296750069,0.994485379925,0.0104164282268,0.101062560113,0.026013190552,0.0,0.0,0.0,0.0,0.0,0.0
1609054428569565704,149,1609054428569565704,1.33357286453,-1.12625026703,-3.85180616379,0.994484973786,0.0103172948551,0.101075930947,0.026016274217,0.0,0.0,0.0,0.0,0.0,0.0
1609054428758571557,150,1609054428758571557,1.33876526356,-1.11523890495,-3.85230779648,0.994479540584,0.0105064693008,0.101101470403,0.0260489950835,0.0,0.0,0.0,0.0,0.0,0.0
